dimension,criterion,preference_unit_ids,criterion_weight,dimension_weight,stock_score,ieo_score,raw_delta,weighted_p_contribution
goal_alignment,Safety and risk management tailored to a beginner and high-altitude scenarios,P02_SAFETY_RISK;P01_ACTIVITY_ENVIRONMENT,0.18,0.32,10,10,0,0.0
goal_alignment,Budget–quality optimization with data-backed purchasing strategy for China market,P03_BUDGET_QUALITY;P06_PHASED_BUY_STORAGE,0.17,0.32,8,9,1,0.0544
goal_alignment,Region- and season-specific adaptation for Shanghai summers and Sichuan–Tibet conditions,P01_ACTIVITY_ENVIRONMENT,0.16,0.32,9,9,0,0.0
goal_alignment,"Modular, scalable kit design with phased upgrades and testing plan",P06_PHASED_BUY_STORAGE;P01_ACTIVITY_ENVIRONMENT,0.13,0.32,10,10,0,0.0
goal_alignment,"Spec-driven decision logic and verification (metrics, thresholds, authenticity checks)",P07_DECISION_PRESENTATION;P03_BUDGET_QUALITY;P05_TECH_NAVIGATION,0.12,0.32,9,8,-1,-0.0384
goal_alignment,"Fit and comfort personalization (pack sizing, footwear fit, load targets, break-in)",P04_FITNESS_COMFORT_LOAD,0.09,0.32,8,10,2,0.0576
goal_alignment,"China-specific procurement, logistics, and legal compliance details",P01_ACTIVITY_ENVIRONMENT;P05_TECH_NAVIGATION;P03_BUDGET_QUALITY,0.07,0.32,9,10,1,0.0224
goal_alignment,"Urban storage, maintenance, and humidity management for a small apartment",P06_PHASED_BUY_STORAGE,0.04,0.32,3,7,4,0.0512
goal_alignment,"Analytical, structured communication style with checklists and trade-off reasoning",P07_DECISION_PRESENTATION,0.04,0.32,8,9,1,0.0128
content_alignment,China-specific Environmental and Route Localization,P01_ACTIVITY_ENVIRONMENT;P03_BUDGET_QUALITY,0.22,0.18,9,10,1,0.0396
content_alignment,Value-Tiered Brand Recommendations for China Market,P03_BUDGET_QUALITY,0.18,0.18,9,9,0,0.0
content_alignment,Risk Management and Safety Redundancy for a Beginner at Altitude,P02_SAFETY_RISK;P01_ACTIVITY_ENVIRONMENT,0.18,0.18,10,10,0,0.0
content_alignment,Modular Kit Design and Upgrade Path,P06_PHASED_BUY_STORAGE;P01_ACTIVITY_ENVIRONMENT,0.12,0.18,10,10,0,0.0
content_alignment,Data-Backed Specifications and Comparative Depth,P07_DECISION_PRESENTATION;P03_BUDGET_QUALITY,0.1,0.18,9,8,-1,-0.018
content_alignment,"Tech Ecosystem Fit (China Maps/BeiDou, Power Strategy)",P05_TECH_NAVIGATION,0.07,0.18,9,9,0,0.0
content_alignment,Comfort and Fit Guidance Tailored to User Profile,P04_FITNESS_COMFORT_LOAD,0.05,0.18,8,9,1,0.009
content_alignment,Storage and Maintenance for Humid Urban Living,P06_PHASED_BUY_STORAGE,0.03,0.18,3,6,3,0.0162
