task_id,vertical,subtype,title_zh,source_id,source_class,risk_level,primary_signal_mode,paper_first,paper_first_rank,environment_binding_status
DA001,data_analysis,exploratory_business_analysis,支付欺诈与批准率的分群权衡分析,dabstep,existing_benchmark_derived,high,explicit_constraints,False,,pending
DA002,data_analysis,exploratory_business_analysis,订阅产品的 cohort 留存与价值诊断,dsbench,existing_benchmark_derived,medium,goal_tradeoff,False,,pending
DA003,data_analysis,exploratory_business_analysis,零售品类增长与毛利冲突诊断,dsbench,existing_benchmark_derived,medium,knowledge_and_audience,True,9,pending
DA004,data_analysis,exploratory_business_analysis,医院运营瓶颈与等待时间分析,real_workflow_adaptation,adapted_real_world,high,history_grounded_latent_preference,False,,pending
DA005,data_analysis,exploratory_business_analysis,城市能耗与减排项目组合分析,real_workflow_adaptation,adapted_real_world,medium,interactive_information_acquisition,False,,pending
DA006,data_analysis,exploratory_business_analysis,气候科研资助组合的证据与风险平衡,plhkw_authored,newly_authored,high,explicit_constraints,False,,pending
DA007,data_analysis,spreadsheet_workflow,构建三表联动的财务预测模型,spreadsheetbench2,existing_benchmark_derived,high,goal_tradeoff,True,10,pending
DA008,data_analysis,spreadsheet_workflow,调试多工作表预算模型,spreadsheetbench2,existing_benchmark_derived,medium,knowledge_and_audience,False,,pending
DA009,data_analysis,spreadsheet_workflow,为经营工作簿生成角色化 KPI 仪表板,spreadsheetbench2,existing_benchmark_derived,medium,history_grounded_latent_preference,False,,pending
DA010,data_analysis,spreadsheet_workflow,完成滚动现金流与融资情景模板,spreadsheetbench2,existing_benchmark_derived,high,interactive_information_acquisition,False,,pending
DA011,data_analysis,predictive_modeling,资源约束下的客户流失预测,mle_bench,existing_benchmark_derived,high,explicit_constraints,True,11,pending
DA012,data_analysis,predictive_modeling,可解释信用风险模型与阈值策略,mle_bench,existing_benchmark_derived,high,goal_tradeoff,False,,pending
DA013,data_analysis,predictive_modeling,多层级需求预测与补货决策,real_workflow_adaptation,adapted_real_world,medium,knowledge_and_audience,False,,pending
DA014,data_analysis,predictive_modeling,工业缺陷图像模型的精度—延迟选择,real_workflow_adaptation,adapted_real_world,high,history_grounded_latent_preference,False,,pending
DA015,data_analysis,experiment_design,产品功能分阶段上线实验设计,plhkw_authored,newly_authored,high,interactive_information_acquisition,True,12,pending
DA016,data_analysis,experiment_design,教育干预的准实验评估方案,plhkw_authored,newly_authored,high,explicit_constraints,False,,pending
DA017,data_analysis,cleaning_integration,跨 CRM、账单与客服系统的客户实体对齐,datascibench,existing_benchmark_derived,high,goal_tradeoff,False,,pending
DA018,data_analysis,cleaning_integration,多源环境监测数据的时空整合,real_workflow_adaptation,adapted_real_world,high,knowledge_and_audience,False,,pending
DR001,deep_research,recommendation_decision,博士项目与申请路线选择,pdr_bench,existing_benchmark_derived,medium,history_grounded_latent_preference,True,1,pending
DR002,deep_research,recommendation_decision,AI 教育创业路线与商业模式,pdr_bench,existing_benchmark_derived,medium,interactive_information_acquisition,False,,pending
DR003,deep_research,recommendation_decision,国际职业市场与迁移路线,pdr_bench,existing_benchmark_derived,medium,explicit_constraints,False,,pending
DR004,deep_research,recommendation_decision,长篇小说创作与发布计划,pdr_bench,existing_benchmark_derived,low,goal_tradeoff,False,,pending
DR005,deep_research,recommendation_decision,北京自住房置业研究,pdr_bench,existing_benchmark_derived,high,knowledge_and_audience,False,,pending
DR006,deep_research,recommendation_decision,家庭教育干预组合设计,pdr_bench,existing_benchmark_derived,high,history_grounded_latent_preference,False,,pending
DR007,deep_research,literature_synthesis,2 型糖尿病综合管理证据综述,pdr_bench,existing_benchmark_derived,high,interactive_information_acquisition,False,,pending
DR008,deep_research,literature_synthesis,复杂多引文 RAG 的高质量训练数据方案,researcherbench,existing_benchmark_derived,medium,explicit_constraints,True,2,pending
DR009,deep_research,literature_synthesis,材料配比优化中的机器学习路线与产业化距离,deepresearch_bench,existing_benchmark_derived,high,goal_tradeoff,False,,pending
DR010,deep_research,literature_synthesis,单原子催化中的外加电场计算建模,deepresearch_bench,existing_benchmark_derived,high,knowledge_and_audience,False,,pending
DR011,deep_research,open_consulting,个人投资目标与策略可行性咨询,pdr_bench,existing_benchmark_derived,high,history_grounded_latent_preference,False,,pending
