query_id,task_id,domain,user_id,source_pair,deepalign_role
1,1,Education,User1,pdr_official,candidate_only
2,1,Education,User3,pdr_official,candidate_only
3,1,Education,User5,pdr_official,candidate_only
4,1,Education,User11,pdr_official,candidate_only
5,1,Education,User18,pdr_official,candidate_only
6,2,Education,User2,pdr_official,candidate_only
7,2,Education,User4,pdr_official,candidate_only
8,2,Education,User5,pdr_official,candidate_only
9,2,Education,User6,pdr_official,candidate_only
10,2,Education,User7,pdr_official,candidate_only
11,3,Education,User5,pdr_official,candidate_only
12,3,Education,User10,pdr_official,candidate_only
13,3,Education,User11,pdr_official,candidate_only
14,3,Education,User18,pdr_official,candidate_only
15,3,Education,User20,pdr_official,candidate_only
16,4,Education,User8,pdr_official,candidate_only
17,4,Education,User9,pdr_official,candidate_only
18,4,Education,User18,pdr_official,candidate_only
19,4,Education,User19,pdr_official,candidate_only
20,4,Education,User21,pdr_official,candidate_only
21,5,Education,User1,pdr_official,candidate_only
22,5,Education,User2,pdr_official,candidate_only
23,5,Education,User5,pdr_official,candidate_only
24,5,Education,User6,pdr_official,candidate_only
25,5,Education,User7,pdr_official,candidate_only
26,6,Career,User9,pdr_official,candidate_only
27,6,Career,User11,pdr_official,candidate_only
28,6,Career,User15,pdr_official,candidate_only
29,6,Career,User18,pdr_official,candidate_only
30,6,Career,User20,pdr_official,candidate_only
31,7,Career,User10,pdr_official,candidate_only
32,7,Career,User11,pdr_official,candidate_only
33,7,Career,User12,pdr_official,candidate_only
34,7,Career,User18,pdr_official,candidate_only
35,7,Career,User19,pdr_official,candidate_only
36,8,Career,User9,pdr_official,candidate_only
37,8,Career,User11,pdr_official,candidate_only
38,8,Career,User18,pdr_official,candidate_only
39,8,Career,User20,pdr_official,candidate_only
40,9,Career,User8,pdr_official,candidate_only
41,9,Career,User9,pdr_official,candidate_only
42,9,Career,User11,pdr_official,candidate_only
43,9,Career,User18,pdr_official,candidate_only
44,9,Career,User20,pdr_official,candidate_only
45,10,Career,User8,pdr_official,candidate_only
46,10,Career,User9,pdr_official,candidate_only
47,10,Career,User11,pdr_official,candidate_only
48,10,Career,User18,pdr_official,candidate_only
49,10,Career,User19,pdr_official,candidate_only
50,10,Career,User20,pdr_official,candidate_only
51,11,Health,User1,pdr_official,candidate_only
52,11,Health,User4,pdr_official,candidate_only
53,11,Health,User11,pdr_official,candidate_only
54,11,Health,User13,pdr_official,candidate_only
55,11,Health,User18,pdr_official,candidate_only
56,12,Health,User2,pdr_official,candidate_only
57,12,Health,User5,pdr_official,candidate_only
58,12,Health,User9,pdr_official,candidate_only
59,12,Health,User15,pdr_official,candidate_only
60,12,Health,User20,pdr_official,candidate_only
61,13,Health,User10,pdr_official,candidate_only
62,13,Health,User16,pdr_official,candidate_only
63,13,Health,User19,pdr_official,candidate_only
64,13,Health,User21,pdr_official,candidate_only
65,13,Health,User24,pdr_official,candidate_only
66,14,Health,User3,pdr_official,candidate_only
67,14,Health,User4,pdr_official,candidate_only
68,14,Health,User7,pdr_official,candidate_only
69,14,Health,User14,pdr_official,candidate_only
70,14,Health,User22,pdr_official,candidate_only
71,15,Health,User2,pdr_official,candidate_only
72,15,Health,User10,pdr_official,candidate_only
73,15,Health,User15,pdr_official,candidate_only
74,15,Health,User22,pdr_official,candidate_only
75,15,Health,User23,pdr_official,candidate_only
76,16,Travel,User1,pdr_official,candidate_only
77,16,Travel,User5,pdr_official,candidate_only
78,16,Travel,User7,pdr_official,candidate_only
79,16,Travel,User9,pdr_official,candidate_only
80,16,Travel,User14,pdr_official,candidate_only
81,17,Travel,User10,pdr_official,candidate_only
82,17,Travel,User16,pdr_official,candidate_only
83,17,Travel,User17,pdr_official,candidate_only
84,17,Travel,User19,pdr_official,candidate_only
85,17,Travel,User21,pdr_official,candidate_only
86,18,Travel,User8,pdr_official,candidate_only
87,18,Travel,User10,pdr_official,candidate_only
88,18,Travel,User12,pdr_official,candidate_only
89,18,Travel,User19,pdr_official,candidate_only
90,18,Travel,User22,pdr_official,candidate_only
91,19,Travel,User1,pdr_official,candidate_only
92,19,Travel,User7,pdr_official,candidate_only
93,19,Travel,User15,pdr_official,candidate_only
94,19,Travel,User18,pdr_official,candidate_only
95,19,Travel,User25,pdr_official,candidate_only
96,20,Travel,User1,pdr_official,candidate_only
97,20,Travel,User5,pdr_official,candidate_only
98,20,Travel,User8,pdr_official,candidate_only
99,20,Travel,User11,pdr_official,candidate_only
100,20,Travel,User14,pdr_official,candidate_only
101,21,Finance,User10,pdr_official,candidate_only
102,21,Finance,User11,pdr_official,candidate_only
103,21,Finance,User12,pdr_official,candidate_only
104,21,Finance,User16,pdr_official,candidate_only
105,21,Finance,User19,pdr_official,candidate_only
106,22,Finance,User13,pdr_official,candidate_only
107,22,Finance,User14,pdr_official,candidate_only
108,22,Finance,User15,pdr_official,candidate_only
109,22,Finance,User18,pdr_official,candidate_only
110,22,Finance,User19,pdr_official,candidate_only
111,23,Finance,User8,pdr_official,candidate_only
112,23,Finance,User9,pdr_official,candidate_only
113,23,Finance,User11,pdr_official,candidate_only
114,23,Finance,User14,pdr_official,candidate_only
115,23,Finance,User20,pdr_official,candidate_only
116,24,Finance,User10,pdr_official,candidate_only
