rank,task_id,vertical,subtype,title_zh,source_id,primary_signal_mode,risk_level,environment_binding_status
1,DR001,deep_research,recommendation_decision,博士项目与申请路线选择,pdr_bench,history_grounded_latent_preference,medium,pending
2,DR008,deep_research,literature_synthesis,复杂多引文 RAG 的高质量训练数据方案,researcherbench,explicit_constraints,medium,pending
3,DR014,deep_research,dataset_resource_discovery,遥感灾害识别数据集的约束式发现与谱系核验,livedrbench,goal_tradeoff,medium,pending
4,DR020,deep_research,conflicting_evidence,亲子沟通干预的证据与情境冲突,pdr_bench,knowledge_and_audience,high,pending
5,DR022,deep_research,temporal_update,AI 监管更新后的产品决策重算,plhkw_authored,interactive_information_acquisition,high,pending
6,SW001,software_engineering,feature_implementation,为 Web 服务加入可配置缓存层,swe_bench_verified,knowledge_and_audience,medium,pending
7,SW007,software_engineering,debugging_remediation,诊断符号化简的内存爆炸,swe_bench_verified,history_grounded_latent_preference,medium,pending
8,SW013,software_engineering,architecture_dependency,为知识产品选择向量检索架构,plhkw_authored,interactive_information_acquisition,medium,pending
9,DA003,data_analysis,exploratory_business_analysis,零售品类增长与毛利冲突诊断,dsbench,knowledge_and_audience,medium,pending
10,DA007,data_analysis,spreadsheet_workflow,构建三表联动的财务预测模型,spreadsheetbench2,goal_tradeoff,high,pending
11,DA011,data_analysis,predictive_modeling,资源约束下的客户流失预测,mle_bench,explicit_constraints,high,pending
12,DA015,data_analysis,experiment_design,产品功能分阶段上线实验设计,plhkw_authored,interactive_information_acquisition,high,pending
