family_id,source_task_id,domain,user_a,user_b,counterfactual_relevance,expected_decision_divergence,minimal_fact_axes,naturalness_review,privacy_review,pair_decision,reviewer,notes
PDR_T01,1,Education,User1,User3,pending,,,pending,pending,unreviewed,,
PDR_T01,1,Education,User1,User5,pending,,,pending,pending,unreviewed,,
PDR_T01,1,Education,User1,User11,pending,,,pending,pending,unreviewed,,
PDR_T01,1,Education,User1,User18,pending,,,pending,pending,unreviewed,,
PDR_T01,1,Education,User3,User5,pending,,,pending,pending,unreviewed,,
PDR_T01,1,Education,User3,User11,pending,,,pending,pending,unreviewed,,
PDR_T01,1,Education,User3,User18,pending,,,pending,pending,unreviewed,,
PDR_T01,1,Education,User5,User11,pending,,,pending,pending,unreviewed,,
PDR_T01,1,Education,User5,User18,pending,,,pending,pending,unreviewed,,
PDR_T01,1,Education,User11,User18,pending,,,pending,pending,unreviewed,,
PDR_T02,2,Education,User2,User4,pending,,,pending,pending,unreviewed,,
PDR_T02,2,Education,User2,User5,pending,,,pending,pending,unreviewed,,
PDR_T02,2,Education,User2,User6,pending,,,pending,pending,unreviewed,,
PDR_T02,2,Education,User2,User7,pending,,,pending,pending,unreviewed,,
PDR_T02,2,Education,User4,User5,pending,,,pending,pending,unreviewed,,
PDR_T02,2,Education,User4,User6,pending,,,pending,pending,unreviewed,,
PDR_T02,2,Education,User4,User7,pending,,,pending,pending,unreviewed,,
PDR_T02,2,Education,User5,User6,pending,,,pending,pending,unreviewed,,
PDR_T02,2,Education,User5,User7,pending,,,pending,pending,unreviewed,,
PDR_T02,2,Education,User6,User7,pending,,,pending,pending,unreviewed,,
PDR_T03,3,Education,User5,User10,pending,,,pending,pending,unreviewed,,
PDR_T03,3,Education,User5,User11,pending,,,pending,pending,unreviewed,,
PDR_T03,3,Education,User5,User18,pending,,,pending,pending,unreviewed,,
PDR_T03,3,Education,User5,User20,pending,,,pending,pending,unreviewed,,
PDR_T03,3,Education,User10,User11,pending,,,pending,pending,unreviewed,,
PDR_T03,3,Education,User10,User18,pending,,,pending,pending,unreviewed,,
PDR_T03,3,Education,User10,User20,pending,,,pending,pending,unreviewed,,
PDR_T03,3,Education,User11,User18,pending,,,pending,pending,unreviewed,,
PDR_T03,3,Education,User11,User20,pending,,,pending,pending,unreviewed,,
PDR_T03,3,Education,User18,User20,pending,,,pending,pending,unreviewed,,
PDR_T04,4,Education,User8,User9,pending,,,pending,pending,unreviewed,,
PDR_T04,4,Education,User8,User18,pending,,,pending,pending,unreviewed,,
PDR_T04,4,Education,User8,User19,pending,,,pending,pending,unreviewed,,
PDR_T04,4,Education,User8,User21,pending,,,pending,pending,unreviewed,,
PDR_T04,4,Education,User9,User18,pending,,,pending,pending,unreviewed,,
PDR_T04,4,Education,User9,User19,pending,,,pending,pending,unreviewed,,
PDR_T04,4,Education,User9,User21,pending,,,pending,pending,unreviewed,,
PDR_T04,4,Education,User18,User19,pending,,,pending,pending,unreviewed,,
PDR_T04,4,Education,User18,User21,pending,,,pending,pending,unreviewed,,
PDR_T04,4,Education,User19,User21,pending,,,pending,pending,unreviewed,,
PDR_T05,5,Education,User1,User2,pending,,,pending,pending,unreviewed,,
PDR_T05,5,Education,User1,User5,pending,,,pending,pending,unreviewed,,
