family_id,source_task_id,domain,risk_gate,candidate_user_count,candidate_user_ids,pair_selection_status,decision_divergence_status,contract_status,evidence_freeze_status,expert_review_status,core_release_status,review_notes
PDR_T01,1,Education,standard_human_review,5,User1|User3|User5|User11|User18,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T02,2,Education,standard_human_review,5,User2|User4|User5|User6|User7,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T03,3,Education,standard_human_review,5,User5|User10|User11|User18|User20,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T04,4,Education,standard_human_review,5,User8|User9|User18|User19|User21,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T05,5,Education,standard_human_review,5,User1|User2|User5|User6|User7,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T06,6,Career,standard_human_review,5,User9|User11|User15|User18|User20,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T07,7,Career,standard_human_review,5,User10|User11|User12|User18|User19,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T08,8,Career,standard_human_review,4,User9|User11|User18|User20,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T09,9,Career,standard_human_review,5,User8|User9|User11|User18|User20,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T10,10,Career,standard_human_review,6,User8|User9|User11|User18|User19|User20,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T11,11,Health,domain_expert_required,5,User1|User4|User11|User13|User18,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,required_pending,candidate_pool_only,
PDR_T12,12,Health,domain_expert_required,5,User2|User5|User9|User15|User20,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,required_pending,candidate_pool_only,
PDR_T13,13,Health,domain_expert_required,5,User10|User16|User19|User21|User24,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,required_pending,candidate_pool_only,
PDR_T14,14,Health,domain_expert_required,5,User3|User4|User7|User14|User22,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,required_pending,candidate_pool_only,
PDR_T15,15,Health,domain_expert_required,5,User2|User10|User15|User22|User23,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,required_pending,candidate_pool_only,
PDR_T16,16,Travel,standard_human_review,5,User1|User5|User7|User9|User14,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T17,17,Travel,standard_human_review,5,User10|User16|User17|User19|User21,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T18,18,Travel,standard_human_review,5,User8|User10|User12|User19|User22,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T19,19,Travel,standard_human_review,5,User1|User7|User15|User18|User25,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T20,20,Travel,standard_human_review,5,User1|User5|User8|User11|User14,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T21,21,Finance,domain_expert_required,5,User10|User11|User12|User16|User19,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,required_pending,candidate_pool_only,
PDR_T22,22,Finance,domain_expert_required,5,User13|User14|User15|User18|User19,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,required_pending,candidate_pool_only,
