rank,task_id,vertical,subtype,title_zh,source_id,primary_signal_mode,primary_deliverable_type,primary_deliverable_zh,risk_level,environment_binding_status
1,DR001,deep_research,program_resource_discovery,人工智能博士项目与导师的可核验发现,pdr_bench,history_grounded_latent_preference,evidence_catalog,一份可机读、逐项目带官方来源与缺失标记的博士项目证据目录。,medium,pending
2,DR008,deep_research,literature_synthesis,复杂多引文 RAG 训练数据方法证据图谱,researcherbench,explicit_constraints,evidence_map,一份将方法、数据、实现和实证逐项关联的多引文 RAG 证据图谱。,medium,pending
3,DR014,deep_research,dataset_resource_discovery,遥感灾害识别数据集的约束式发现与谱系核验,livedrbench,goal_tradeoff,dataset_inventory,一份逐数据集带版本谱系、许可和排除状态的可机读数据集目录。,medium,pending
4,DR020,deep_research,conflicting_evidence,亲子沟通干预的效果与情境冲突证据审计,pdr_bench,knowledge_and_audience,evidence_dossier,一份按干预、年龄和情境呈现证据方向与冲突来源的研究证据档案。,high,pending
5,DR022,deep_research,temporal_update,AI 监管更新的条款级差分与旧状态残留审计,plhkw_authored,interactive_information_acquisition,versioned_diff_dossier,一份将更新前后条款、依赖影响和旧状态残留统一记录的版本化法规差分档案。,high,pending
6,SW001,software_engineering,feature_implementation,为 Web 服务加入可配置缓存层,swe_bench_verified,knowledge_and_audience,repository_commit,一个完成请求并在同一仓库提交中内含实现、测试和必要文档的可验证代码提交。,medium,pending
7,SW007,software_engineering,debugging_remediation,诊断符号化简的内存爆炸,swe_bench_verified,history_grounded_latent_preference,repository_commit,一个完成请求并在同一仓库提交中内含实现、测试和必要文档的可验证代码提交。,medium,pending
8,SW013,software_engineering,architecture_dependency,为知识产品选择向量检索架构,plhkw_authored,interactive_information_acquisition,repository_commit,一个完成请求并在同一仓库提交中内含实现、测试和必要文档的可验证代码提交。,medium,pending
9,DA003,data_analysis,exploratory_business_analysis,零售品类增长与毛利冲突诊断,dsbench,knowledge_and_audience,analysis_notebook,一个可从头运行并在内部呈现数据核验、计算、图表、敏感性分析和解释的分析 notebook。,medium,pending
10,DA007,data_analysis,spreadsheet_workflow,构建三表联动的财务预测模型,spreadsheetbench2,goal_tradeoff,workbook,一个数值可重算、来源可追踪并在内部包含控制检查与使用说明的 xlsx 工作簿。,high,pending
11,DA011,data_analysis,predictive_modeling,资源约束下的客户流失预测,mle_bench,explicit_constraints,modeling_notebook,一个可从头运行并在内部完成数据审计、训练、评估、误差分析和模型说明的建模 notebook。,high,pending
12,DA015,data_analysis,experiment_design,产品功能分阶段上线实验设计,plhkw_authored,interactive_information_acquisition,analysis_notebook,一个可从头运行并在内部包含估计对象、设计、功效或敏感性模拟及分析规则的实验设计 notebook。,high,pending
