family_id,target_user,artifact_type,judge,repeat,p_score,goal_alignment,content_alignment,presentation_fit,actionability_practicality
F02_knowledge_tool,A,general_good,qwen3_8b,1,8.7,10.0,6.0,9.0,10.0
F02_knowledge_tool,A,general_good,qwen3_8b,2,8.0,10.0,3.5,9.5,10.0
F02_knowledge_tool,A,general_good,qwen3_8b,3,8.9,10.0,6.5,9.5,10.0
F02_knowledge_tool,A,matched_a,qwen3_8b,1,8.5,10.0,5.5,8.5,10.0
F02_knowledge_tool,A,matched_b,qwen3_8b,1,10.0,10.0,10.0,10.0,10.0
F02_knowledge_tool,A,over_a,qwen3_8b,1,6.5,5.0,7.0,8.0,8.0
F02_knowledge_tool,A,over_a,qwen3_8b,2,6.8,5.0,7.0,9.0,9.0
F02_knowledge_tool,A,over_a,qwen3_8b,3,6.5,5.0,7.0,8.0,8.0
F02_knowledge_tool,B,general_good,qwen3_8b,1,9.42,10.0,9.6,7.0,9.2
F02_knowledge_tool,B,general_good,qwen3_8b,2,9.42,10.0,9.6,7.0,9.2
F02_knowledge_tool,B,general_good,qwen3_8b,3,9.42,10.0,9.6,7.0,9.2
F02_knowledge_tool,B,matched_a,qwen3_8b,1,2.57,2.5,2.4,2.5,3.0
F02_knowledge_tool,B,matched_b,qwen3_8b,1,9.65,10.0,9.6,8.5,9.6
F02_knowledge_tool,B,over_b,qwen3_8b,1,8.4,8.5,8.6,7.0,8.6
F02_knowledge_tool,B,over_b,qwen3_8b,2,9.24,10.0,9.6,6.0,8.8
F02_knowledge_tool,B,over_b,qwen3_8b,3,9.0,9.0,9.6,8.0,8.6
F04_review_plan,A,general_good,qwen3_8b,1,10.0,10.0,10.0,10.0,10.0
F04_review_plan,A,general_good,qwen3_8b,2,10.0,10.0,10.0,10.0,10.0
F04_review_plan,A,general_good,qwen3_8b,3,10.0,10.0,10.0,10.0,10.0
F04_review_plan,A,matched_a,qwen3_8b,1,10.0,10.0,10.0,10.0,10.0
F04_review_plan,A,matched_b,qwen3_8b,1,10.0,10.0,10.0,10.0,10.0
F04_review_plan,A,over_a,qwen3_8b,1,10.0,10.0,10.0,10.0,10.0
F04_review_plan,A,over_a,qwen3_8b,2,10.0,10.0,10.0,10.0,10.0
F04_review_plan,A,over_a,qwen3_8b,3,10.0,10.0,10.0,10.0,10.0
F04_review_plan,B,general_good,qwen3_8b,1,9.815,9.6,10.0,10.0,9.7
F04_review_plan,B,general_good,qwen3_8b,2,9.815,9.6,10.0,10.0,9.7
F04_review_plan,B,general_good,qwen3_8b,3,10.0,10.0,10.0,10.0,10.0
F04_review_plan,B,matched_a,qwen3_8b,1,8.465,10.0,6.0,8.4,9.1
F04_review_plan,B,matched_b,qwen3_8b,1,10.0,10.0,10.0,10.0,10.0
F04_review_plan,B,over_b,qwen3_8b,1,6.72,6.8,6.0,6.8,7.6
F04_review_plan,B,over_b,qwen3_8b,2,6.72,6.8,6.0,6.8,7.6
F04_review_plan,B,over_b,qwen3_8b,3,6.72,6.8,6.0,6.8,7.6
