task_id,vertical,subtype,title_zh,source_id,source_class,risk_level,primary_signal_mode,paper_first,paper_first_rank,primary_deliverable_type,primary_deliverable_zh,task_prompt_zh,environment_binding_status
DA001,data_analysis,exploratory_business_analysis,支付欺诈与批准率的分群权衡分析,dabstep,existing_benchmark_derived,high,explicit_constraints,False,,analysis_notebook,一个可从头运行并在内部呈现数据核验、计算、图表、敏感性分析和解释的分析 notebook。,"给定匿名交易表、支付规则文档和费用说明，分析欺诈损失、误拒和批准率之间的分群权衡。

请完成以下长程工作：
1. 读取并核对表结构与文档规则；
2. 构造可复算的分群指标；
3. 定位异常与规则变化影响；
4. 做敏感性分析并形成行动建议；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个可从头运行并在内部呈现数据核验、计算、图表、敏感性分析和解释的分析 notebook。",pending
DA002,data_analysis,exploratory_business_analysis,订阅产品的 cohort 留存与价值诊断,dsbench,existing_benchmark_derived,medium,goal_tradeoff,False,,analysis_notebook,一个可从头运行并在内部呈现数据核验、计算、图表、敏感性分析和解释的分析 notebook。,"给定多表订阅、账单、活动和客服数据，解释增长放缓来自获客、激活、留存还是价格。

请完成以下长程工作：
1. 审计主键、时间窗和口径；
2. 构造 cohort、漏斗和单位经济指标；
3. 检验替代解释与数据缺口；
4. 按目标角色输出决策优先级；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个可从头运行并在内部呈现数据核验、计算、图表、敏感性分析和解释的分析 notebook。",pending
DA003,data_analysis,exploratory_business_analysis,零售品类增长与毛利冲突诊断,dsbench,existing_benchmark_derived,medium,knowledge_and_audience,True,9,analysis_notebook,一个可从头运行并在内部呈现数据核验、计算、图表、敏感性分析和解释的分析 notebook。,"给定门店、订单、促销、库存和退货数据，识别收入增长与毛利恶化的共同原因。

请完成以下长程工作：
1. 统一 SKU、门店和促销口径；
2. 分解价格、数量、组合、折扣和退货效应；
3. 检查季节性和数据截断；
4. 生成角色条件化的行动组合；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个可从头运行并在内部呈现数据核验、计算、图表、敏感性分析和解释的分析 notebook。",pending
DA004,data_analysis,exploratory_business_analysis,医院运营瓶颈与等待时间分析,real_workflow_adaptation,adapted_real_world,high,history_grounded_latent_preference,False,,analysis_notebook,一个可从头运行并在内部呈现数据核验、计算、图表、敏感性分析和解释的分析 notebook。,"给定去标识化就诊流程、排班和资源数据，定位等待时间瓶颈，同时避免把相关性误写成临床因果。

请完成以下长程工作：
1. 审计隐私、缺失和时间戳；
2. 构建流程阶段与队列指标；
3. 分层检查病例组合和排班混杂；
4. 提出可逆运营试点与监测指标；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个可从头运行并在内部呈现数据核验、计算、图表、敏感性分析和解释的分析 notebook。",pending
DA005,data_analysis,exploratory_business_analysis,城市能耗与减排项目组合分析,real_workflow_adaptation,adapted_real_world,medium,interactive_information_acquisition,False,,analysis_notebook,一个可从头运行并在内部呈现数据核验、计算、图表、敏感性分析和解释的分析 notebook。,"给定建筑、天气、能源账单和项目成本数据，识别节能潜力并形成受预算和公平约束的项目组合。

请完成以下长程工作：
1. 对齐建筑实体、天气和账期；
2. 建立基线并做气候归一化；
3. 估算节能、成本、不确定性和分配影响；
4. 比较项目组合与分阶段执行；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个可从头运行并在内部呈现数据核验、计算、图表、敏感性分析和解释的分析 notebook。",pending
DA006,data_analysis,exploratory_business_analysis,气候科研资助组合的证据与风险平衡,plhkw_authored,newly_authored,high,explicit_constraints,False,,analysis_notebook,一个可从头运行并在内部呈现数据核验、计算、图表、敏感性分析和解释的分析 notebook。,"基金会需要从项目申请、历史成果、预算和主题图谱中构建下一年度资助组合。

请完成以下长程工作：
1. 清理申请人与机构实体并检查利益冲突；
2. 建立证据、可行性、组合互补和风险指标；
3. 在多种价值取向下求解并做敏感性分析；
4. 输出资助、候补与拒绝的可解释建议；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个可从头运行并在内部呈现数据核验、计算、图表、敏感性分析和解释的分析 notebook。",pending
DA007,data_analysis,spreadsheet_workflow,构建三表联动的财务预测模型,spreadsheetbench2,existing_benchmark_derived,high,goal_tradeoff,True,10,workbook,一个数值可重算、来源可追踪并在内部包含控制检查与使用说明的 xlsx 工作簿。,"给定历史财报、假设表和部分模板，完成利润表、资产负债表与现金流量表联动预测。

请完成以下长程工作：
1. 检查工作簿结构与历史公式；
2. 建立驱动假设和跨表依赖；
3. 完成预测、平衡检查和情景切换；
4. 生成面向决策者的关键图表；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个数值可重算、来源可追踪并在内部包含控制检查与使用说明的 xlsx 工作簿。",pending
DA008,data_analysis,spreadsheet_workflow,调试多工作表预算模型,spreadsheetbench2,existing_benchmark_derived,medium,knowledge_and_audience,False,,workbook,一个数值可重算、来源可追踪并在内部包含控制检查与使用说明的 xlsx 工作簿。,"给定含引用、单位、符号和时间错位错误的预算工作簿，定位并修复系统性问题。

请完成以下长程工作：
1. 先建立工作簿依赖和不变量；
2. 批量识别错误模式而非逐格猜测；
3. 修复并保留格式、注释和输入区；
4. 用交叉核对与变化测试验证；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个数值可重算、来源可追踪并在内部包含控制检查与使用说明的 xlsx 工作簿。",pending
DA009,data_analysis,spreadsheet_workflow,为经营工作簿生成角色化 KPI 仪表板,spreadsheetbench2,existing_benchmark_derived,medium,history_grounded_latent_preference,False,,workbook,一个数值可重算、来源可追踪并在内部包含控制检查与使用说明的 xlsx 工作簿。,"给定复杂经营工作簿，建立一个数值正确、可追溯且适合特定管理角色的 KPI 仪表板。

请完成以下长程工作：
1. 调查数据表、刷新方式和关键口径；
2. 选择指标层级、图形和交互；
3. 建立来源链接与异常提示；
4. 验证数值、筛选器和不同显示条件；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个数值可重算、来源可追踪并在内部包含控制检查与使用说明的 xlsx 工作簿。",pending
DA010,data_analysis,spreadsheet_workflow,完成滚动现金流与融资情景模板,spreadsheetbench2,existing_benchmark_derived,high,interactive_information_acquisition,False,,workbook,一个数值可重算、来源可追踪并在内部包含控制检查与使用说明的 xlsx 工作簿。,"给定银行流水、应收应付计划和融资条款，完成 13 周滚动现金流模板与融资情景。

请完成以下长程工作：
1. 对齐现金账户和日期；
2. 构建收支预测、缺口和 covenant 检查；
3. 加入基准/压力情景和滚动更新；
4. 保护输入、公式与审计轨迹；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个数值可重算、来源可追踪并在内部包含控制检查与使用说明的 xlsx 工作簿。",pending
DA011,data_analysis,predictive_modeling,资源约束下的客户流失预测,mle_bench,existing_benchmark_derived,high,explicit_constraints,True,11,modeling_notebook,一个可从头运行并在内部完成数据审计、训练、评估、误差分析和模型说明的建模 notebook。,"给定客户行为与流失标签，开发可提交的预测管线，并在性能、解释性和部署资源之间作选择。

请完成以下长程工作：
1. 审计泄漏、时间切分和不平衡；
2. 建立可复现基线与验证；
3. 比较特征、模型和校准；
4. 生成提交、模型卡和部署评估；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个可从头运行并在内部完成数据审计、训练、评估、误差分析和模型说明的建模 notebook。",pending
DA012,data_analysis,predictive_modeling,可解释信用风险模型与阈值策略,mle_bench,existing_benchmark_derived,high,goal_tradeoff,False,,modeling_notebook,一个可从头运行并在内部完成数据审计、训练、评估、误差分析和模型说明的建模 notebook。,"给定信用申请数据，建立风险预测模型，并把排序性能转成可审计的批准阈值策略。

请完成以下长程工作：
1. 检查缺失、代理变量、时间漂移和不平衡；
2. 建立基线、交叉验证与校准；
3. 比较高性能和可解释模型；
4. 做成本、公平和阈值敏感性分析；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个可从头运行并在内部完成数据审计、训练、评估、误差分析和模型说明的建模 notebook。",pending
DA013,data_analysis,predictive_modeling,多层级需求预测与补货决策,real_workflow_adaptation,adapted_real_world,medium,knowledge_and_audience,False,,modeling_notebook,一个可从头运行并在内部完成数据审计、训练、评估、误差分析和模型说明的建模 notebook。,"给定 SKU—门店销量、价格、促销和库存数据，建立多层级预测并转化为补货建议。

请完成以下长程工作：
1. 处理缺货导致的删失与新品冷启动；
2. 建立时间切分和层级基线；
3. 比较统计、树模型和深度模型；
4. 评估预测误差与库存成本；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个可从头运行并在内部完成数据审计、训练、评估、误差分析和模型说明的建模 notebook。",pending
DA014,data_analysis,predictive_modeling,工业缺陷图像模型的精度—延迟选择,real_workflow_adaptation,adapted_real_world,high,history_grounded_latent_preference,False,,modeling_notebook,一个可从头运行并在内部完成数据审计、训练、评估、误差分析和模型说明的建模 notebook。,"给定工业缺陷图像和标注，训练检测/分类管线，并判断云端高精度与边缘低延迟路线。

请完成以下长程工作：
1. 审计标注、批次泄漏和类别不平衡；
2. 建立分组验证和轻量基线；
3. 比较模型、增广、校准和压缩；
4. 测量设备延迟并做错误成本分析；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个可从头运行并在内部完成数据审计、训练、评估、误差分析和模型说明的建模 notebook。",pending
DA015,data_analysis,experiment_design,产品功能分阶段上线实验设计,plhkw_authored,newly_authored,high,interactive_information_acquisition,True,12,analysis_notebook,一个可从头运行并在内部包含估计对象、设计、功效或敏感性模拟及分析规则的实验设计 notebook。,"给定历史行为数据和有限流量，设计新功能的分阶段上线实验，兼顾学习速度、风险和长期指标。

请完成以下长程工作：
1. 定义估计对象、主指标、护栏和异质效应；
2. 评估随机化单元、干扰和样本量；
3. 比较固定样本、序贯和分阶段方案；
4. 生成分析代码、停止规则和监测计划；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个可从头运行并在内部包含估计对象、设计、功效或敏感性模拟及分析规则的实验设计 notebook。",pending
