task_id,domain,short_label,personalization_leverage,non_surface_change,history_groundability,preference_dimension_count,dr_requirement,generic_baseline,demographic_token_risk,profile_contradiction_risk,selected,selection_tier,candidate_preference_nodes,screen_reason
1,Education,AI PhD program and application strategy,2,pass,pass,4,pass,pass,low,low,yes,primary,"research direction|academic readiness|funding tolerance|career geography","研究方向、院校集合、申请策略和资金约束都会随用户改变；官方五位候选横跨本科生、工程师与数据分析师。"
2,Education,Overseas exchange or visiting program,2,pass,pass,4,pass,pass,low,low,no,strong_reserve,"discipline fit|credit transfer|budget|cultural adaptation","可形成内容级差异，但与入选的教育和旅行任务在项目筛选、预算与适应性节点上较冗余。"
3,Education,Entrepreneurship education pathway,2,pass,pass,4,pass,pass,low,low,no,strong_reserve,"venture stage|industry focus|time budget|mentor access","不同职业与创业阶段会改变课程和实践资源；与 AI 创业、品牌和内容创业题的构念重叠较高。"
4,Education,MBA EMBA or data-analytics program decision,2,pass,pass,4,pass,pass,low,low,yes,primary,"career transition goal|work-study capacity|tuition ROI|network target","五位候选处于不同职位、行业和资产阶段，项目类型、地区、ROI 与时间安排会双向改变。"
5,Education,Academic paper and journal submission plan,2,pass,pass,4,pass,pass,low,low,yes,primary,"research field|method maturity|journal target|revision experience","任务故意缺少学科与方法；这些 high-impact missing preferences 会改变检索文献、期刊集合、写作和投稿策略。"
6,Career,Transition into finance,2,pass,pass,4,pass,pass,low,low,yes,primary,"transferable skills|target finance role|credential budget|practice access","候选用户背景横跨产品、算法、写作与数据；学习路径、证书、项目和目标岗位均需改变。"
7,Career,AI education startup,2,pass,pass,4,pass,pass,low,low,no,strong_reserve,"founder skill mix|product scope|capital runway|go-to-market channel","技术、市场、供应链和创业经历会改变方案，但与入选的职业转型和内容创业题在 skill-gap 与渠道节点上冗余。"
8,Career,Leadership and management development,1,conditional,pass,3,conditional,pass,low,low,no,excluded_low_leverage,"team size|management context|communication failure|practice access","多数用户差异只改变练习场景和资源排序，核心领导力内容与证据集合较稳定。"
9,Career,Transition into AI product management,2,pass,pass,4,pass,pass,low,low,yes,primary,"current skill stack|target product type|portfolio gap|company preference","官方候选从投资、运营、算法、数据到文案，能力缺口、项目组合与目标公司会显著不同。"
10,Career,International career roadmap,2,pass,pass,4,pass,pass,low,low,yes,primary,"target occupation|country constraints|family mobility|language readiness","行业、岗位、家庭迁移和签证路径会改变国家集合、证据检索与行动顺序；不是语言风格差异。"
11,Health,Fitness and body-composition plan,2,pass,pass,4,pass,pass,low,low,yes,primary,"fitness baseline|injury or condition|available equipment|schedule and diet","运动史、健康边界、器械与作息在 history 中自然可见，并会改变训练剂量、动作和营养方案。"
12,Health,Emotional regulation self-study plan,1,conditional,pass,3,pass,pass,low,low,no,excluded_low_leverage,"trigger pattern|symptom severity|habit fit|support access","用户差异会影响习惯与资源，但核心证据和干预框架大多相同；且缺少临床边界信息时不宜强个性化。"
13,Health,Type-2 diabetes management,2,pass,conditional,4,pass,weak,low,high,no,excluded_profile_conflict,"medication and glucose status|diet pattern|activity capacity|hypoglycemia risk","任务预设糖尿病，但官方候选 profile 未稳定提供该诊断，容易把任务事实与画像事实冲突误当推断能力。"
14,Health,First full-marathon training,2,pass,pass,4,pass,weak,low,high,no,excluded_profile_conflict,"running baseline|injury history|weekly availability|equipment","任务明确声称无跑步经验，而部分候选 profile 已有长跑习惯甚至可跑长距离；冲突会污染 Ask/Infer 估计。"
15,Health,Sleep improvement and supplements,2,pass,pass,4,pass,pass,low,medium,no,strong_reserve,"sleep schedule|symptom pattern|stressors|medication or supplement boundary","history 可提供作息与压力，内容会改变；但补充剂和睡眠障碍需要额外临床筛查，首版成本较高。"
16,Travel,Southeast Asia backpacking itinerary,2,pass,pass,4,pass,pass,low,low,yes,primary,"destination interest|budget comfort|travel pace|risk and accommodation style","候选的旅行方式、预算、住宿、文化兴趣和体能会改变国家组合、路线、证据与风险安排。"
17,Travel,Multigenerational beach holiday,2,pass,pass,4,pass,pass,low,medium,no,strong_reserve,"child ages|elder mobility|accommodation needs|activity balance","家庭组成具有诊断力，但题面已统一写入儿童与老人，而部分候选家庭结构不一致，存在轻度 task–profile 冲突。"
18,Travel,Berlin business trip,1,conditional,pass,3,conditional,pass,low,medium,no,excluded_low_leverage,"meeting location|hotel standard|leisure interest","会议、日期和预算已高度固定；persona 主要改变酒店档次和业余活动，且固定日期容易过期。"
19,Travel,Morocco cultural trip,1,conditional,pass,3,pass,pass,low,low,no,excluded_low_leverage,"pace|lodging comfort|food constraints","核心城市和文化活动已写死，用户差异多为节奏、住宿与口味，不足以稳定改变研究结论。"
20,Travel,Annapurna Base Camp trek,2,pass,pass,4,pass,weak,low,high,no,excluded_profile_conflict,"altitude readiness|trekking experience|risk tolerance|equipment","安全和路线确会改变，但题面统一声明体能与经验，官方 profile 又存在不同运动事实；高海拔安全使冲突代价更高。"
21,Finance,Six-month personal investment portfolio,2,pass,pass,4,pass,pass,low,medium,yes,primary,"risk tolerance|loss capacity|investment experience|liquidity horizon","风险承受、资产负债、经验与流动性会改变资产集合、配置和对 10% 目标的可行性结论；需金融专家复核。"
22,Finance,Thirty-year retirement security plan,2,pass,pass,4,pass,pass,low,low,yes,primary,"life stage|assets and liabilities|family obligations|health and care needs","年龄阶段、资产、家庭责任和健康需求会改变保险、投资、护理与动态配置，而不是只改变措辞。"
23,Finance,First-car insurance selection,1,conditional,conditional,3,pass,pass,low,medium,no,excluded_low_leverage,"vehicle model|registration location|deductible tolerance","真正决定报价的车型、地区与条款并不稳定存在于 profile/history；广泛 persona 差异对核心结论较弱。"
24,Finance,Coastal home-property insurance,1,conditional,conditional,3,pass,pass,low,low,no,excluded_low_leverage,"property structure|contents inventory|deductible tolerance","房屋地点、财产额和风险已较具体；其余画像多改变保额细节，核心灾害与条款研究相近。"
25,Finance,Short-term and high-frequency trading,2,pass,pass,4,pass,weak,low,high,no,excluded_safety_conflict,"capital at risk|loss tolerance|market access|trading experience","画像风险偏好会改变结论，但题面固定追求高频收益并与多位保守用户冲突；安全和可行性混杂过强。"
26,Creative,First romance novel plan,1,conditional,pass,3,conditional,pass,medium,low,no,excluded_low_leverage,"writing experience|available time|creative process","类型、篇幅、时间与工具偏好已经明确；persona 主要改变例子、书单与工作流。"
27,Creative,Independent music album release,1,conditional,pass,3,pass,pass,medium,low,no,excluded_low_leverage,"production skill|equipment gap|audience channel","风格、曲数、预算与技能已给出；广泛 profile 容易把音乐偏好 token 重复进方案而不改变核心研究。"
28,Creative,Professional personal-brand plan,2,pass,pass,4,pass,pass,low,low,no,strong_reserve,"professional niche|target collaborators|platform footprint|time budget","职业身份与网络会改变受众、内容和合作渠道；与入选的个人媒体任务高度重叠，故仅保留一个。"
29,Creative,Healthy fast-food business plan,2,pass,pass,4,pass,pass,low,low,no,strong_reserve,"operator experience|city and site access|team capability|risk runway","经营经验、地域和资源会改变市场与财务方案，但题面已给出定位、预算、客群和选址偏好，边际信息较少。"
30,Creative,Personal media account strategy,2,pass,pass,4,pass,pass,low,low,yes,primary,"domain expertise|target audience|platform history|monetization tolerance","五位候选涵盖新媒体、运营、创业、插画和写作；赛道、竞品、内容日历和变现路径都会改变。"
31,Shopping,Skincare product update,1,conditional,conditional,3,pass,pass,high,low,no,excluded_demographic_projection,"allergy or sensitivity|current ingredients|routine adherence","肤质、目标和预算已明确；继续依赖性别年龄容易诱发刻板推荐，真正关键的过敏和成分史未必在画像中。"
32,Shopping,Home furnishing and appliance plan,2,pass,pass,4,pass,pass,low,low,no,strong_reserve,"household composition|cooking pattern|smart-home ecosystem|durability preference","家庭、烹饪和智能生态会改变家具家电组合；与宠物、装备和住房题相比，官方题面已有较多硬约束。"
33,Shopping,Pet-care product system,2,pass,pass,4,pass,pass,low,low,yes,primary,"pet species and count|size and behavior|care schedule|smart-device tolerance","候选五位拥有不同犬猫种类、数量、体型与家庭照护场景，产品组合、容量、安全和维护决策明显不同。"
34,Shopping,Tokyo souvenirs and customs,2,pass,pass,4,pass,pass,medium,low,no,strong_reserve,"recipient mix|diet or allergy|carry capacity|category preference","收礼对象与饮食偏好会改变商品集合，但容易把家乡、性别或爱好 token 直接映射成礼物，需更强负向约束。"
35,Shopping,Beginner outdoor gear system,2,pass,pass,4,pass,pass,low,low,yes,primary,"activity mix|terrain and weather|experience and fitness|budget and carry weight","徒步、露营和登山比例、体能、经验、预算与天气会改变技术规格、品牌集合和安全冗余。"
36,Real Estate,New-home renovation process,2,pass,conditional,4,pass,weak,low,medium,no,excluded_missing_artifact,"household needs|structural tolerance|material priority|contractor budget","用户偏好有影响，但平面图与测量数据是不可替代的任务 artifact；提问行为会与索取文件能力混杂。"
37,Real Estate,Apartment renovation design,2,pass,conditional,4,pass,weak,low,medium,no,excluded_missing_artifact,"partner needs|cooking workflow|storage priority|material preference","生活方式会改变布局，但核心设计必须查看未提供的平面图；首版难区分 acquire preference 与 acquire artifact。"
38,Real Estate,Beijing owner-occupied home purchase,2,pass,pass,4,pass,pass,low,high,no,excluded_profile_conflict,"school stage|commute anchors|down-payment capacity|amenity priority","内容级差异很强，但多位候选常住上海或杭州，且家庭状态与题面购房动机不总一致，容易形成画像冲突。"
39,Real Estate,Coastal retirement-home selection,2,pass,pass,4,pass,pass,low,low,yes,primary,"health and mobility|family proximity|asset capacity|climate and care priority","候选覆盖 40–70 岁、不同健康与资产状态；城市、医疗、楼层、社区和持有策略会随用户实质改变。"
40,Real Estate,Hangzhou investment property,1,conditional,pass,3,pass,pass,low,medium,no,excluded_low_leverage,"loss capacity|holding horizon|liquidity need","预算、地区与中等风险已写明，核心市场证据对用户相同；画像主要改变权重和风险提示。"
41,Law,Cross-border e-commerce company setup,1,conditional,conditional,3,pass,pass,low,low,no,excluded_low_leverage,"operating footprint|founder experience|compliance budget","实体、税务和注册结论主要由任务与法律事实决定；广泛人格信息不应改变法律内容。"
42,Law,Global AI-agent data compliance,0,fail,conditional,2,pass,pass,low,low,no,excluded_zero_leverage,"risk tolerance|implementation capacity","市场、服务器、数据和预算已经固定；同法域要求不应因用户 persona 改变，适合作为 zero-δ 对照而非主 slice。"
43,Law,Employment non-compete dispute,1,conditional,conditional,3,pass,pass,low,low,no,excluded_low_leverage,"contract facts|compensation history|career urgency","可执行策略取决于合同和付款证据，而不是通用画像；history 若没有该事件就不可推断。"
44,Law,Partnership dissolution or equity transfer,2,pass,conditional,4,pass,pass,low,low,no,strong_reserve,"ownership facts|debt exposure|negotiation priority|litigation tolerance","谈判与退出路径可变化，但需要协议、账务和辖区材料；首版 acquisition 容易与法律证据索取混杂。"
45,Law,Demolition compensation choice,2,pass,conditional,4,pass,pass,low,medium,no,strong_reserve,"property rights|relocation need|cash-flow priority|litigation tolerance","补偿选择会变，但城市、评估与产权材料决定性更强；profile/history 不足时不能安全形成 gold。"
46,Parenting,Family education plan,2,pass,pass,4,pass,pass,low,low,no,strong_reserve,"child stage|learning profile|parent availability|education budget","家庭和儿童差异会改变资源、活动和学校协同；与入选的亲子沟通题共享大量年龄和照护节点。"
47,Parenting,Child exercise habit plan,2,pass,pass,4,pass,pass,low,medium,no,strong_reserve,"child age|health status|sport interest|family schedule","内容级差异强，但儿童健康与运动安全需额外专家验证，且与成人健身和户外装备题构念部分重叠。"
48,Parenting,Child art and emotional-expression plan,2,pass,pass,4,pass,pass,low,low,no,strong_reserve,"child interests|development stage|materials access|parent participation","艺术形式与活动会改变，但部分候选 profile 对孩子能力记录较薄；优先级低于沟通题的年龄跨度和可观察后果。"
49,Parenting,Parent-child communication plan,2,pass,pass,4,pass,pass,low,low,yes,primary,"child developmental and communication state|communication failure|caregiver availability|activity preference","家庭结构、可观察的沟通问题、照护者时间和适用活动会改变沟通机制与材料；年龄本身不计作偏好，也不能单独决定方案。"
50,Parenting,Parent-child charity activities,2,pass,pass,4,pass,pass,low,low,no,strong_reserve,"child age and interest|location|schedule|commitment horizon","项目类型和组织渠道会改变，但受即时地区与排期影响较大；与亲子任务和旅行发现任务存在冗余。"
