task,condition,preference_id,impact,relevant,known_initially,asked_and_resolved,resolved,reflected,label
T01,stock,T1-P1,high,True,False,True,True,True,Research orientation: applied / implementation-heavy / system-building AI research > purely abstract theory-only research.
T01,stock,T1-P2,high,True,False,True,True,True,"Learning/preparation style: self-directed projects, replication, coding and hands-on exploration > mainly classroom/course-based preparation."
T01,stock,T1-P3,high,True,False,False,False,True,Career utility: preserve strong industry-research / employability optionality > optimize only for an academic-faculty trajectory.
T01,stock,T1-P4,high,True,False,True,True,True,Program economics: strong funding / scholarships / cost-effectiveness > expensive prestige-first options.
T01,stock,T1-P5,high,True,False,False,False,True,"Decision style: evidence-based comparison of fit, outcomes and trade-offs > school-name/prestige as the dominant decision rule."
T01,stock,T1-A1,average,True,False,False,False,False,Work/study environment: quiet independent study environment > highly social/cohort-heavy environment.
T01,stock,T1-A2,average,True,False,False,False,True,"Geography/lifestyle: access to technology ecosystems, museums/exhibitions and intellectually active cities > location being unimportant."
T01,stock,T1-A3,average,True,False,False,False,False,Daily learning rhythm: flexible independent planning and evening-focused deep work > tightly scheduled externally managed study routines.
T01,ieo,T1-P1,high,True,False,True,True,True,Research orientation: applied / implementation-heavy / system-building AI research > purely abstract theory-only research.
T01,ieo,T1-P2,high,True,False,True,True,True,"Learning/preparation style: self-directed projects, replication, coding and hands-on exploration > mainly classroom/course-based preparation."
T01,ieo,T1-P3,high,True,False,True,True,True,Career utility: preserve strong industry-research / employability optionality > optimize only for an academic-faculty trajectory.
T01,ieo,T1-P4,high,True,False,False,False,True,Program economics: strong funding / scholarships / cost-effectiveness > expensive prestige-first options.
T01,ieo,T1-P5,high,True,False,False,False,True,"Decision style: evidence-based comparison of fit, outcomes and trade-offs > school-name/prestige as the dominant decision rule."
T01,ieo,T1-A1,average,True,False,False,False,False,Work/study environment: quiet independent study environment > highly social/cohort-heavy environment.
T01,ieo,T1-A2,average,True,False,False,False,True,"Geography/lifestyle: access to technology ecosystems, museums/exhibitions and intellectually active cities > location being unimportant."
T01,ieo,T1-A3,average,True,False,False,False,False,Daily learning rhythm: flexible independent planning and evening-focused deep work > tightly scheduled externally managed study routines.
T02,stock,T2-P1,high,True,False,False,False,False,Program value: cultural/intellectual fit and meaningful immersion > institutional prestige alone.
T02,stock,T2-P2,high,True,False,False,False,True,Academic content: interdisciplinary social/media/cultural learning > narrowly technical coursework.
T02,stock,T2-P3,high,True,False,False,False,False,Experience depth: deeper engagement with fewer places/communities > maximizing destination count.
T02,stock,T2-P4,high,True,False,False,False,False,Autonomy: self-guided exploration and flexible local experience > heavily packaged/group-managed activities.
T02,stock,T2-P5,high,True,False,True,True,False,"Spending style: cost-effective, locally distinctive accommodation/choices > premium convenience/luxury."
T02,stock,T2-A1,average,True,False,False,False,False,Living environment: culturally rich neighborhoods with bookstores/cafes/parks > purely convenience-oriented campus surroundings.
T02,stock,T2-A2,average,True,False,False,False,False,Sustainability: environmentally responsible travel/living choices > sustainability being irrelevant.
T02,stock,T2-A3,average,True,False,False,False,True,Activity mix: nature/outdoor experiences > predominantly indoor/urban consumption.
T02,ieo,T2-P1,high,True,False,True,True,True,Program value: cultural/intellectual fit and meaningful immersion > institutional prestige alone.
